timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
6,-6.8,-4.6,0.5,0.24,-0.49,0.64,0.83,0.05,-0.05, unclassified
18,-6.4,-4.3,0.3,0.34,-0.44,0.64,0.83,0.05,0.00, unclassified
31,-6.2,-4.0,-0.0,0.29,-0.29,0.54,0.83,0.10,0.00, unclassified
44,-6.1,-3.8,-0.6,0.24,-0.10,0.59,0.93,0.00,0.10, unclassified
57,-5.9,-4.0,-1.6,0.24,0.00,0.69,0.88,0.05,0.00, unclassified
69,-6.2,-4.3,-1.7,0.10,0.00,0.78,1.08,0.05,0.00, unclassified
82,-6.7,-4.0,-1.6,0.15,-0.05,0.98,1.18,0.10,0.00, unclassified
95,-9.6,-1.5,-0.4,0.10,-0.10,1.08,1.27,0.29,0.00, unclassified
107,-10.5,-0.8,-0.2,0.10,-0.10,1.13,1.37,0.34,0.05, unclassified
119,-11.2,0.2,-0.3,0.05,0.20,1.08,1.37,0.29,0.00, unclassified
133,-11.2,-0.1,-0.8,0.00,0.24,1.03,1.27,0.15,-0.05, unclassified
146,-10.3,-1.9,-0.7,0.00,0.29,0.93,1.27,0.15,0.00, unclassified
158,-10.0,-2.0,-0.7,0.00,0.29,0.98,1.37,0.29,0.00, unclassified
171,-10.4,-1.6,-0.8,0.05,0.15,1.18,1.42,0.34,0.00, unclassified
184,-11.0,-0.5,-0.7,0.05,0.15,1.13,1.47,0.39,0.00, unclassified
196,-11.5,0.4,-0.5,0.15,0.15,1.03,1.42,0.39,0.00, unclassified
208,-11.4,0.4,-0.9,0.15,0.20,1.08,1.27,0.29,0.05, unclassified
221,-10.9,0.1,-1.2,0.20,0.24,0.88,1.27,0.29,0.10, unclassified
234,-10.2,-0.2,-1.8,0.29,0.15,0.93,1.27,0.49,0.10, unclassified
246,-10.4,0.5,-2.1,0.24,0.20,0.98,1.32,0.44,0.15, unclassified
259,-10.6,1.0,-2.3,0.24,0.20,0.93,1.37,0.44,0.10, unclassified
272,-10.5,1.0,-2.2,0.24,0.29,0.98,1.32,0.44,0.10, unclassified
284,-10.5,1.2,-1.9,0.29,0.29,0.83,1.32,0.44,0.15, unclassified
296,-9.9,0.6,-2.3,0.29,0.24,0.83,1.27,0.64,0.15, unclassified
309,-9.8,0.4,-2.3,0.29,0.24,0.83,1.32,0.69,0.15, unclassified
322,-9.9,1.5,-2.2,0.29,0.39,0.78,1.23,0.64,0.00, unclassified
334,-8.9,2.5,-1.4,0.20,0.54,0.59,1.03,0.54,0.00, unclassified
347,-8.4,2.0,-1.0,0.15,0.59,0.54,1.03,0.49,0.00, unclassified
359,-8.0,1.8,-0.8,0.10,0.59,0.49,1.03,0.59,0.00, unclassified
371,-7.7,2.3,-0.3,0.15,0.54,0.59,1.08,0.69,-0.10, unclassified
384,-8.3,3.1,-0.2,0.15,0.54,0.54,1.13,0.83,0.05, unclassified
397,-8.5,3.6,-0.4,0.10,0.39,0.59,1.23,1.03,0.05, unclassified
409,-8.7,5.5,-0.8,0.10,0.49,0.54,1.18,0.98,0.05, unclassified
421,-8.9,7.0,-1.0,0.05,0.69,0.39,1.03,0.88,0.05, unclassified
434,-7.7,4.2,-1.2,0.05,0.78,0.34,0.93,0.69,0.10, unclassified
446,-7.1,4.3,-1.3,0.10,0.88,0.29,0.98,0.69,0.05, unclassified
458,-6.8,4.7,-1.3,0.10,0.88,0.34,1.03,0.78,0.10, unclassified
472,-7.0,4.9,-1.1,0.10,0.78,0.44,1.03,0.98,0.10, unclassified
484,-8.0,6.8,-1.0,0.20,0.78,0.39,1.03,1.13,0.10, unclassified
496,-8.2,7.6,-1.3,0.15,0.98,0.29,1.03,1.03,0.15, unclassified
508,-7.4,5.8,-2.5,0.10,1.27,0.15,0.93,1.08,0.15, unclassified
521,-6.8,5.5,-2.6,0.10,1.32,0.15,0.93,1.03,0.05, unclassified
534,-6.5,6.0,-2.0,0.05,1.27,0.15,0.93,0.98,0.05, unclassified
546,-6.4,6.6,-1.1,0.05,1.23,0.24,0.98,1.03,0.00, unclassified
559,-6.5,7.0,-0.6,0.05,1.23,0.20,0.93,1.18,0.00, unclassified
571,-6.8,7.9,-0.3,0.00,1.37,0.20,0.93,1.23,0.05, unclassified
583,-6.4,7.2,-1.1,0.05,1.47,0.20,0.83,1.13,0.05, unclassified
595,-6.2,7.3,-1.0,0.00,1.67,0.15,0.83,1.13,0.15, unclassified
609,-5.9,7.1,-1.2,0.05,1.57,0.15,0.83,1.03,0.05, unclassified
621,-5.3,6.9,-1.4,0.00,1.67,0.15,0.88,1.08,0.05, unclassified
633,-5.4,8.0,-0.9,0.00,1.62,0.24,0.88,1.18,0.05, unclassified
646,-5.6,8.6,-0.3,0.00,1.67,0.24,0.78,1.32,0.10, unclassified
658,-5.6,8.5,-0.4,0.05,1.71,0.24,0.83,1.27,0.05, unclassified
671,-5.5,8.3,-0.8,0.00,1.96,0.15,0.78,1.23,0.15, unclassified
684,-4.5,7.7,-1.8,0.05,1.96,0.20,0.73,1.23,0.15, unclassified
696,-4.3,8.0,-1.9,0.00,1.96,0.24,0.73,1.32,0.05, unclassified
708,-4.3,8.7,-1.7,0.00,1.86,0.29,0.83,1.37,0.05, unclassified
720,-5.1,10.1,-0.6,0.00,1.71,0.39,0.83,1.47,0.00, unclassified
733,-6.1,10.6,0.3,0.05,1.76,0.44,0.88,1.42,0.05, unclassified
746,-6.3,10.6,0.4,0.05,1.96,0.29,0.78,1.37,0.10, unclassified
758,-5.4,9.8,-0.4,0.00,2.16,0.34,0.69,1.23,0.05, unclassified
771,-4.9,9.4,-0.8,0.00,2.21,0.34,0.69,1.27,0.10, unclassified
783,-3.8,8.2,-1.4,0.00,2.25,0.29,0.59,1.18,0.10, unclassified
796,-3.6,8.2,-1.3,0.05,2.01,0.29,0.59,1.23,0.10, unclassified
808,-3.5,8.4,-1.1,0.05,2.01,0.34,0.64,1.23,0.05, unclassified
821,-3.4,8.8,-0.8,0.10,1.96,0.24,0.54,1.23,0.05, unclassified
833,-3.2,8.5,-1.2,0.20,1.81,0.34,0.64,1.32,0.10, unclassified
846,-3.3,8.6,-1.4,0.15,1.62,0.29,0.64,1.32,0.20, unclassified
859,-3.6,8.6,-2.1,0.15,1.57,0.39,0.69,1.42,0.20, unclassified
871,-3.5,8.9,-2.1,0.15,1.47,0.29,0.64,1.42,0.15, unclassified
883,-3.5,9.1,-1.9,0.20,1.52,0.24,0.59,1.32,0.10, unclassified
898,-2.7,9.5,-1.2,0.15,1.52,0.24,0.59,1.32,0.05, unclassified
910,-2.7,9.5,-0.6,0.20,1.37,0.24,0.49,1.37,0.05, unclassified
922,-2.8,9.4,-0.3,0.20,1.32,0.24,0.54,1.42,0.05, unclassified
934,-2.7,10.2,-0.5,0.24,1.32,0.24,0.59,1.52,0.05, unclassified
948,-2.7,10.6,-0.7,0.24,1.32,0.24,0.49,1.42,0.05, unclassified
961,-2.8,10.4,-0.9,0.24,1.42,0.20,0.49,1.42,0.24, unclassified
973,-2.0,9.4,-1.5,0.24,1.52,0.20,0.44,1.42,0.15, unclassified
987,-1.8,9.2,-1.3,0.24,1.52,0.10,0.39,1.42,0.10, unclassified
1000,-1.5,9.9,-0.6,0.93,6.37,0.20,0.44,1.47,0.10, unclassified
1012,-1.5,9.3,-0.1,0.24,8.43,0.29,0.54,0.88,0.05, unclassified
1025,-0.5,-0.3,-2.3,0.10,3.09,0.24,0.44,1.37,0.10, unclassified
1039,-2.8,13.6,-0.8,0.10,1.37,0.20,0.49,1.62,-0.10, unclassified
1052,-1.3,14.4,0.5,0.15,1.37,0.24,0.59,1.52,-0.05, unclassified
1064,-3.0,10.1,1.4,0.15,1.32,0.29,0.54,1.47,-0.10, unclassified
1078,-2.3,10.8,1.5,0.15,1.47,0.29,0.54,1.42,0.00, unclassified
1091,-2.6,10.6,1.5,0.15,1.67,0.15,0.49,1.47,0.05, unclassified
1103,-1.7,9.5,0.1,0.20,2.06,0.20,0.54,1.47,0.05, unclassified
1117,-1.8,9.1,-0.5,0.20,2.25,0.24,0.44,1.47,0.00, unclassified
1130,-1.9,9.1,-0.3,0.05,2.55,0.20,0.34,1.37,-0.10, unclassified
1142,-1.1,10.2,1.7,0.00,2.79,0.10,0.29,1.18,-0.15, unclassified
1155,-0.8,9.9,2.2,0.00,3.19,0.00,0.24,1.18,-0.10, unclassified
1167,-0.6,9.4,2.1,0.05,3.23,0.00,0.34,1.13,-0.05, unclassified
1180,-0.8,6.9,1.3,0.10,3.14,0.00,0.44,1.23,0.00, unclassified
1193,-1.7,7.3,0.8,0.24,3.04,0.00,0.59,1.32,0.05, unclassified
1206,-2.0,8.1,0.4,0.29,2.74,-0.05,0.59,1.52,0.05, unclassified
1218,-2.3,10.2,-0.1,0.29,2.55,-0.05,0.64,1.71,0.00, unclassified
1231,-2.5,11.3,0.0,0.34,2.35,-0.15,0.59,1.76,0.00, unclassified
1244,-3.1,13.0,0.4,0.29,2.25,-0.15,0.69,1.76,0.05, unclassified
1256,-3.3,13.3,0.4,0.39,1.91,-0.05,0.73,1.76,0.05, unclassified
1269,-3.6,13.5,0.5,0.44,1.81,-0.10,0.73,1.86,0.15, unclassified
1282,-3.8,13.5,0.4,0.39,1.71,0.00,0.73,1.76,0.05, unclassified
1294,-3.8,13.3,0.5,0.39,1.71,-0.10,0.73,1.71,0.00, unclassified
1306,-3.9,13.1,0.6,0.34,1.76,0.05,0.73,1.62,0.00, unclassified
1319,-4.1,11.6,1.0,0.39,1.52,0.05,0.83,1.47,-0.10, unclassified
1332,-4.9,10.1,1.1,0.34,1.47,0.05,0.93,1.23,-0.05, unclassified
1344,-5.3,9.7,1.3,0.34,1.32,0.10,0.83,1.27,-0.10, unclassified
1357,-5.6,9.1,1.3,0.34,1.18,0.15,0.88,1.32,-0.05, unclassified
1370,-5.7,8.9,1.3,0.29,0.98,0.20,0.88,1.27,-0.05, unclassified
1382,-6.1,8.2,1.6,0.34,0.93,0.20,0.93,1.08,-0.05, unclassified
1395,-6.5,8.0,1.4,0.29,0.83,0.29,1.08,1.03,0.00, unclassified
1408,-6.9,7.3,1.0,0.39,0.83,0.34,1.08,0.93,-0.10, unclassified
1421,-7.3,6.4,0.7,0.29,0.64,0.44,1.13,1.03,-0.10, unclassified
1433,-8.0,6.1,0.8,0.29,0.59,0.44,1.13,0.98,-0.05, unclassified
1446,-8.1,6.1,1.1,0.29,0.59,0.44,1.03,0.93,-0.20, unclassified
1459,-7.9,5.4,1.8,0.24,0.54,0.49,1.03,0.88,-0.10, unclassified
1472,-7.5,4.5,1.5,0.29,0.44,0.49,1.13,0.83,-0.10, unclassified
1485,-7.6,4.2,1.4,0.29,0.39,0.59,1.08,0.83,-0.10, unclassified
1499,-8.1,4.6,1.5,0.29,0.39,0.59,0.98,0.83,-0.15, unclassified
1511,-8.0,4.2,1.5,0.24,0.34,0.64,1.18,0.78,-0.24, unclassified
