timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
108884,-8.1,-5.8,5.9,0.64,-0.05,0.78,0.93,-0.1,-0.88, high-cross
108897,-7.6,-6.0,6.3,0.49,0.05,0.73,0.88,-0.15,-0.88, high-cross
108909,-7.3,-6.4,6.6,0.34,0.2,0.64,0.83,-0.2,-0.83, high-cross
108922,-6.5,-6.5,7.3,0.2,0.29,0.69,0.73,-0.2,-1.08, high-cross
108936,-6.3,-6.7,7.7,0.05,0.39,0.69,0.73,-0.1,-1.13, high-cross
108948,-6.3,-7.1,8.7,0.0,0.44,0.69,0.69,-0.24,-1.23, high-cross
108960,-6.0,-7.3,9.8,-0.15,0.59,0.64,0.64,-0.34,-1.62, high-cross
108974,-5.8,-7.9,11.1,-0.24,0.59,0.59,0.29,-0.49,-1.86, high-cross
108986,-3.3,-9.4,15.5,-0.49,0.78,0.24,0.24,-0.64,-2.06, high-cross
108999,-2.8,-11.2,17.0,-0.59,0.73,0.05,0.2,-0.83,-2.21, high-cross
109011,-2.9,-11.1,18.3,-0.64,0.69,-0.29,-0.15,-0.78,-2.99, high-cross
109025,-1.3,-10.1,19.8,-0.44,0.59,-0.69,-0.44,-1.08,-2.99, high-cross
109037,3.2,-11.0,26.7,0.98,-0.29,-1.76,-0.78,-1.03,-2.55, high-cross
109051,6.4,-12.6,25.4,2.25,-1.52,-1.91,-0.93,-1.03,-1.96, high-cross
109064,9.6,-15.8,17.7,3.63,-2.74,-2.16,-1.23,-1.08,-1.67, high-cross
109077,14.0,-14.3,14.2,4.8,-4.07,-2.11,-1.27,-0.44,-1.42, high-cross
109090,15.9,-16.5,12.4,6.61,-7.06,-2.11,-1.42,0.39,-1.76, high-cross
109105,18.0,-7.3,13.5,7.06,-8.13,-2.35,-1.96,1.03,-1.96, high-cross
109117,21.6,-0.4,17.2,7.06,-8.92,-2.84,-2.35,1.71,-2.35, high-cross
109131,26.3,10.3,24.0,6.91,-9.75,-4.31,-2.16,3.28,-2.79, high-cross
109145,26.5,17.3,26.0,6.91,-9.9,-5.59,-1.76,3.87,-2.6, high-cross
109158,22.4,30.9,29.2,6.96,-9.7,-7.01,-1.18,4.56,-2.16, high-cross
109170,14.1,39.7,24.1,7.5,-8.53,-11.86,-0.54,5.39,-0.44, high-cross
109185,8.8,39.7,20.0,8.38,-7.55,-14.85,1.08,5.34,0.83, high-cross
109197,-8.6,39.7,-5.8,9.26,-6.57,-17.84,2.3,5.1,2.3, high-cross
109210,-16.2,39.7,-16.9,10.14,-5.29,-24.21,3.68,4.8,4.61, high-cross
109222,-24.4,39.7,-28.0,10.39,-0.78,-27.19,5.39,2.84,5.39, high-cross
109236,-39.2,29.3,-39.0,9.7,1.08,-30.28,5.93,2.55,6.27, high-cross
109249,-39.2,25.8,-39.1,9.06,2.74,-33.91,5.98,2.16,7.64, high-cross
109261,-39.2,20.7,-39.1,7.45,3.97,-44.39,4.41,1.81,7.2, high-cross
109275,-24.1,13.5,-39.1,0.34,4.75,-49.2,2.4,2.3,3.23, high-cross
109288,-11.5,7.1,-39.1,-2.79,1.96,-50.67,1.18,4.9,0.05, high-cross
109301,0.6,-1.3,-0.0,-95.84,-58.56,-39.54,6.42,13.03,39.2, high-cross
109314,-22.5,39.7,-32.1,19.31,21.22,-6.91,1.57,13.96,0.1, high-cross
109327,-9.7,0.5,4.0,1.23,1.57,-9.26,-1.96,16.17,5.1, high-cross
109340,29.0,7.9,-19.2,-1.71,-10.14,-8.92,-3.97,-3.19,3.53, high-cross
109355,35.0,5.1,-22.8,0.34,9.41,-7.15,-3.87,-2.84,1.52, high-cross
109367,39.1,0.7,-16.6,3.72,7.74,-5.78,-2.74,-1.71,0.83, high-cross
109381,30.0,-6.6,-15.9,2.01,3.28,-4.36,-0.39,-0.2,3.82, high-cross
109394,23.3,-7.0,-24.6,1.81,1.81,-3.19,0.15,0.88,6.08, high-cross
109407,11.0,0.3,-39.1,4.51,1.62,-2.79,0.05,2.25,7.2, high-cross
109420,12.8,-3.4,-39.1,2.79,1.76,-2.89,-0.93,1.52,3.43, high-cross
109433,12.9,-9.0,-39.1,0.24,2.01,-2.94,-1.13,0.88,1.32, high-cross
109447,10.7,5.9,-20.8,-1.27,2.79,-3.09,-1.27,0.69,0.0, high-cross
109459,10.6,5.1,-8.9,-1.57,2.5,-2.94,-1.03,0.34,-1.37, high-cross
109472,9.7,1.5,0.6,-1.91,1.86,-2.89,-0.64,0.59,-2.01, high-cross
109485,2.2,-3.6,15.7,-2.4,1.37,-3.38,-0.78,0.78,-2.89, high-cross
109497,3.2,-0.4,19.8,-2.4,1.13,-3.72,-0.54,1.18,-3.63, high-cross
109510,2.8,4.7,26.4,-1.32,0.05,-3.43,1.23,1.67,-4.41, high-cross
109522,-4.9,19.6,38.9,-0.69,-0.44,-3.38,1.76,1.67,-4.17, high-cross
109536,-17.3,28.2,39.4,-0.05,-0.39,-4.07,1.76,1.52,-3.58, high-cross
109549,-16.5,16.6,32.3,1.18,0.2,-4.7,1.76,0.73,-2.21, high-cross
109562,-15.9,9.0,26.0,1.86,0.29,-4.85,1.67,0.2,-1.67, high-cross
109575,-14.7,-7.5,14.1,2.5,0.34,-4.85,1.67,0.0,-1.62, high-cross
109588,-14.3,-11.8,11.5,3.04,0.24,-4.61,1.76,-0.78,-1.47, high-cross
109601,-14.9,-8.3,11.6,4.07,-0.49,-3.77,2.06,-0.88,-0.64, high-cross
109615,-16.1,-3.5,9.9,4.26,-0.78,-3.33,1.91,-0.73,-0.15, high-cross
109627,-14.4,-13.7,-2.7,3.87,-0.83,-2.89,1.81,-0.93,0.0, high-cross
109640,-14.0,-14.1,-3.2,3.43,-0.64,-2.45,1.52,-0.78,0.15, high-cross
109655,-13.4,-13.6,-2.7,3.23,-0.93,-2.16,1.32,-0.88,0.05, high-cross
109667,-9.5,-14.6,-5.2,3.19,-1.37,-1.86,1.42,-1.08,-0.34, high-cross
109681,-10.8,-12.6,-1.7,3.38,-1.86,-1.52,1.23,-0.83,-0.05, high-cross
109693,-10.6,-10.7,1.6,3.23,-2.45,-1.08,1.03,-0.78,-0.05, high-cross
109707,-7.8,-12.8,-2.2,3.09,-2.65,-0.88,0.98,-0.69,0.05, high-cross
109719,-7.1,-11.6,-2.0,2.89,-2.6,-0.73,0.59,-0.44,0.24, high-cross
109733,-5.5,-9.3,-3.5,2.89,-2.5,-0.69,0.34,-0.59,0.1, high-cross
109746,-1.2,-10.1,-5.0,2.99,-2.7,-0.73,0.2,-0.69,0.1, high-cross
109759,-0.5,-10.8,-3.3,2.99,-2.7,-0.64,0.1,-0.73,-0.05, high-cross
109771,1.8,-9.6,-2.6,2.94,-2.7,-0.49,0.0,-0.73,-0.05, high-cross
109784,2.6,-10.5,-1.5,2.74,-2.6,-0.34,0.0,-0.78,-0.1, high-cross
109797,2.4,-11.5,-1.1,2.21,-2.3,-0.1,0.1,-0.73,0.0, high-cross
