timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
12040,8.3,3.9,-0.8,0.15,0.93,-0.78,-0.59,0.83,0.15, idle
12052,8.5,3.6,-0.8,0.1,0.88,-0.78,-0.59,0.88,0.1, idle
12065,8.5,3.6,-0.9,0.2,0.88,-0.69,-0.59,0.78,0.1, idle
12078,8.6,3.8,-0.9,0.2,0.88,-0.78,-0.54,0.83,0.15, idle
12090,8.5,4.0,-0.9,0.15,0.83,-0.78,-0.59,0.83,0.15, idle
12103,8.5,4.1,-0.9,0.15,0.93,-0.78,-0.54,0.88,0.15, idle
12116,8.5,4.0,-0.8,0.15,0.88,-0.73,-0.59,0.83,0.1, idle
12129,8.6,3.9,-0.7,0.2,0.88,-0.78,-0.59,0.78,0.1, idle
12142,8.8,3.6,-0.7,0.1,0.93,-0.83,-0.59,0.78,0.1, idle
12155,9.0,3.6,-0.8,0.15,0.93,-0.78,-0.64,0.88,0.05, idle
12169,9.1,3.7,-0.9,0.15,0.93,-0.78,-0.54,0.83,0.1, idle
12181,8.9,4.2,-1.0,0.1,0.88,-0.88,-0.59,0.83,0.15, idle
12193,8.9,4.3,-1.0,0.1,0.83,-0.73,-0.59,0.88,0.1, idle
12208,8.9,4.3,-1.1,0.15,0.83,-0.78,-0.54,0.88,0.15, idle
12220,8.6,4.3,-1.0,0.1,0.83,-0.69,-0.54,0.88,0.15, idle
12233,8.4,4.4,-1.1,0.15,0.78,-0.69,-0.49,0.88,0.2, idle
12247,8.1,4.3,-1.3,0.15,0.83,-0.69,-0.49,0.83,0.15, idle
12260,7.9,4.3,-1.3,0.2,0.88,-0.69,-0.39,0.83,0.2, idle
12272,7.6,4.1,-1.4,0.15,0.88,-0.59,-0.44,0.83,0.24, idle
12285,7.5,3.9,-1.4,0.15,0.88,-0.69,-0.54,0.78,0.1, idle
12299,7.5,3.8,-1.3,0.1,0.88,-0.73,-0.54,0.78,0.15, idle
12311,8.1,3.4,-1.2,0.15,0.98,-0.73,-0.54,0.78,0.15, idle
12323,8.3,3.4,-1.2,0.1,0.93,-0.78,-0.64,0.83,0.1, idle
12338,8.5,3.4,-1.0,0.1,0.93,-0.83,-0.54,0.83,0.05, idle
12350,9.2,3.8,-0.6,0.1,0.93,-0.73,-0.59,0.78,0.0, idle
12362,9.1,3.9,-0.4,0.1,0.98,-0.78,-0.54,0.73,0.05, idle
12376,9.1,3.9,-0.2,0.1,0.98,-0.78,-0.64,0.78,0.05, idle
12388,9.2,3.8,0.0,0.05,0.98,-0.78,-0.64,0.78,0.05, idle
12400,9.4,4.0,-0.1,0.1,0.93,-0.83,-0.59,0.78,0.05, idle
12413,9.4,4.1,-0.2,0.1,0.93,-0.93,-0.64,0.83,0.1, idle
12426,9.3,4.2,-0.3,0.1,0.88,-0.83,-0.59,0.88,0.1, idle
12438,9.2,4.2,-0.4,0.15,0.83,-0.78,-0.54,0.93,0.05, idle
12450,9.0,4.3,-0.3,0.1,0.88,-0.78,-0.54,0.88,0.0, idle
12464,8.8,4.3,-0.3,0.1,0.93,-0.73,-0.54,0.78,0.05, idle
12476,8.8,4.3,-0.3,0.15,0.88,-0.78,-0.54,0.83,0.05, idle
12488,8.8,4.2,-0.4,0.15,1.03,-0.88,-0.59,0.83,0.05, idle
12502,9.0,4.2,-0.5,0.15,0.88,-0.73,-0.64,0.83,0.1, idle
12514,9.0,4.3,-0.5,0.15,0.83,-0.78,-0.59,0.88,0.05, idle
12526,9.1,4.5,-0.5,0.1,0.83,-0.83,-0.59,0.88,0.1, idle
12539,9.2,4.5,-0.5,0.1,0.83,-0.73,-0.54,0.83,0.1, idle
12552,9.1,4.4,-0.5,0.2,0.88,-0.73,-0.54,0.88,0.15, idle
12565,9.0,4.1,-0.7,0.15,0.88,-0.78,-0.59,0.88,0.1, idle
12577,9.0,4.1,-0.7,0.2,0.83,-0.73,-0.54,0.88,0.1, idle
12591,8.8,4.1,-0.8,0.2,0.88,-0.78,-0.54,0.83,0.05, idle
12603,8.9,4.1,-0.8,0.2,0.83,-0.78,-0.59,0.78,0.05, idle
12617,9.0,4.2,-0.8,0.2,0.88,-0.83,-0.64,0.83,0.1, idle
12630,9.1,4.3,-0.8,0.24,0.88,-0.78,-0.54,0.88,0.1, idle
12642,9.2,4.1,-0.8,0.24,0.98,-0.78,-0.59,0.83,0.1, idle
12655,9.0,4.1,-1.0,0.24,0.93,-0.78,-0.54,0.88,0.15, idle
12669,8.8,4.0,-1.0,0.2,0.93,-0.69,-0.49,0.83,0.1, idle
12682,8.6,4.2,-1.0,0.2,0.93,-0.73,-0.44,0.88,0.05, idle
12695,8.5,4.2,-1.1,0.15,0.88,-0.78,-0.59,0.83,0.1, idle
12708,8.5,4.2,-1.1,0.24,0.93,-0.73,-0.59,0.88,0.1, idle
12722,8.8,4.2,-1.1,0.24,0.88,-0.83,-0.69,0.93,0.1, idle
