timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
10245,8.4,2.8,0.1,0.15,0.83,-0.83,-0.59,0.78,0.05, idle
10257,8.6,3.6,-0.1,0.1,0.83,-0.73,-0.59,0.83,0.1, idle
10270,8.7,3.8,-0.3,0.15,0.78,-0.73,-0.54,0.83,0.0, idle
10283,8.7,3.7,-0.1,0.15,0.83,-0.69,-0.59,0.78,0.1, idle
10295,8.6,3.8,-0.1,0.1,0.88,-0.78,-0.64,0.78,0.05, idle
10308,8.6,3.5,-0.3,0.15,0.83,-0.83,-0.59,0.78,0.1, idle
10321,8.9,4.0,-0.6,0.15,0.88,-0.83,-0.64,0.83,0.05, idle
10334,9.0,4.4,-0.7,0.1,0.88,-0.88,-0.69,0.93,0.05, idle
10346,9.3,4.5,-0.8,0.2,0.88,-0.83,-0.64,0.88,0.15, idle
10359,9.3,4.5,-0.7,0.2,0.78,-0.83,-0.59,0.93,0.1, idle
10373,9.1,4.9,-0.7,0.24,0.78,-0.93,-0.59,0.88,0.15, idle
10386,9.0,5.2,-0.8,0.2,0.88,-0.78,-0.54,0.78,0.1, idle
10398,8.9,4.9,-0.9,0.24,0.88,-0.73,-0.54,0.78,0.15, idle
10412,8.8,4.8,-1.2,0.15,0.88,-0.73,-0.49,0.88,0.2, idle
10425,8.5,5.0,-1.6,0.15,0.93,-0.73,-0.54,0.93,0.29, idle
10438,8.2,4.6,-2.0,0.2,0.93,-0.83,-0.59,0.93,0.2, idle
10451,8.6,4.4,-1.9,0.1,0.88,-0.83,-0.69,0.88,0.1, idle
10465,9.2,3.7,-1.4,0.15,0.93,-0.83,-0.64,0.83,0.05, idle
10477,9.6,3.2,-0.8,0.15,0.88,-0.88,-0.64,0.93,0.05, idle
10489,9.5,3.2,-0.6,0.15,0.88,-0.83,-0.59,0.83,0.0, idle
10504,9.1,3.7,0.0,0.2,0.78,-0.78,-0.59,0.83,-0.05, idle
10516,8.5,3.8,0.7,0.1,0.83,-0.78,-0.54,0.78,0.0, idle
10528,8.3,3.6,1.2,0.15,0.78,-0.69,-0.54,0.69,-0.1, idle
10542,8.1,3.4,1.4,0.24,0.83,-0.69,-0.49,0.69,-0.1, idle
10555,7.8,3.1,1.4,0.2,0.83,-0.64,-0.39,0.59,0.0, idle
10567,7.4,2.6,1.1,0.2,0.83,-0.64,-0.44,0.73,-0.05, idle
10579,7.3,2.8,0.9,0.15,0.88,-0.69,-0.49,0.73,-0.05, idle
10592,7.3,2.9,0.8,0.2,0.78,-0.73,-0.49,0.78,0.05, idle
10605,7.5,3.4,0.2,0.2,0.83,-0.69,-0.49,0.78,-0.05, idle
10617,7.6,3.5,0.2,0.2,0.78,-0.78,-0.54,0.83,-0.05, idle
10630,7.8,3.4,0.3,0.24,0.78,-0.78,-0.54,0.88,-0.05, idle
10643,8.5,3.3,0.6,0.2,0.88,-0.83,-0.64,0.83,0.0, idle
10655,9.1,3.3,0.8,0.24,0.88,-0.88,-0.64,0.78,-0.05, idle
10668,9.4,3.4,1.2,0.2,0.88,-0.93,-0.64,0.83,-0.05, idle
10680,9.3,3.4,1.3,0.24,0.93,-0.93,-0.73,0.78,-0.05, idle
10693,9.4,3.6,1.4,0.24,0.98,-0.98,-0.73,0.78,-0.05, idle
10705,9.9,4.2,1.0,0.34,0.98,-0.88,-0.69,0.78,0.0, idle
10719,9.7,4.1,0.9,0.34,0.98,-0.78,-0.64,0.78,0.0, idle
10731,9.4,3.9,0.8,0.39,0.98,-0.83,-0.54,0.73,0.05, idle
10743,8.8,3.4,0.1,0.44,1.03,-0.78,-0.54,0.69,0.05, idle
10757,8.6,2.9,-0.4,0.39,1.08,-0.78,-0.54,0.69,0.05, idle
10770,8.6,2.8,-0.6,0.39,1.03,-0.78,-0.54,0.73,0.05, idle
10782,8.7,2.6,-1.0,0.44,1.03,-0.78,-0.49,0.73,0.2, idle
10796,8.5,2.5,-1.1,0.44,1.03,-0.73,-0.49,0.73,0.15, idle
10808,8.3,2.9,-1.5,0.39,1.08,-0.73,-0.44,0.83,0.15, idle
10821,8.3,2.9,-1.6,0.34,0.98,-0.78,-0.49,0.78,0.05, idle
10834,8.2,2.8,-1.6,0.29,0.93,-0.73,-0.44,0.78,0.1, idle
10847,8.0,2.7,-1.2,0.34,0.98,-0.78,-0.54,0.78,0.05, idle
10860,8.2,2.6,-1.1,0.29,0.88,-0.78,-0.59,0.78,0.1, idle
10873,8.3,2.5,-0.9,0.29,0.88,-0.88,-0.64,0.78,0.05, idle
10887,8.8,3.3,-0.4,0.2,0.83,-0.88,-0.64,0.83,0.0, idle
10900,8.9,3.8,-0.5,0.24,0.88,-0.78,-0.64,0.93,0.1, idle
10913,9.0,4.2,-0.6,0.24,0.78,-0.78,-0.59,0.93,0.05, idle
10926,9.0,4.9,-0.5,0.2,0.78,-0.83,-0.59,0.93,0.05, idle
10939,8.9,5.0,-0.3,0.15,0.73,-0.78,-0.59,0.98,0.1, idle
10952,8.6,5.2,0.1,0.1,0.78,-0.78,-0.64,0.98,0.0, idle
10964,8.7,5.3,0.6,0.1,0.73,-0.83,-0.54,0.88,-0.05, idle
10977,8.7,5.2,0.7,0.1,0.83,-0.73,-0.64,0.88,-0.05, idle
10990,8.6,4.9,0.8,0.05,0.83,-0.78,-0.64,0.88,0.0, idle
