timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
23108,-9.5,0.9,-0.1,0.1,0.49,1.23,1.23,0.39,0.0, ready
23121,-9.7,0.9,-0.1,0.2,0.44,1.18,1.23,0.34,-0.05, ready
23134,-9.7,1.0,-0.2,0.15,0.44,1.08,1.23,0.44,0.0, ready
23146,-9.7,1.0,-0.2,0.2,0.49,1.13,1.27,0.49,-0.05, ready
23159,-9.7,1.1,-0.3,0.2,0.54,1.08,1.23,0.39,0.0, ready
23172,-9.7,1.1,-0.4,0.2,0.49,1.08,1.23,0.44,-0.05, ready
23184,-9.7,1.2,-0.2,0.15,0.54,1.08,1.23,0.44,0.0, ready
23196,-9.6,1.2,-0.2,0.2,0.49,1.13,1.23,0.39,0.0, ready
23209,-9.7,1.0,-0.4,0.2,0.49,1.13,1.23,0.39,0.0, ready
23222,-9.6,0.9,-0.5,0.15,0.54,1.03,1.23,0.34,0.0, ready
23235,-9.5,0.9,-0.5,0.2,0.59,1.13,1.18,0.39,0.0, ready
23247,-9.4,0.5,-0.6,0.2,0.59,1.03,1.23,0.44,-0.05, ready
23261,-9.3,0.6,-0.4,0.15,0.59,1.03,1.27,0.34,-0.05, ready
23273,-9.5,1.0,-0.3,0.2,0.54,1.08,1.27,0.39,-0.05, ready
23286,-9.6,1.0,-0.3,0.2,0.44,1.08,1.27,0.49,-0.05, ready
23300,-9.7,1.1,-0.4,0.24,0.49,1.08,1.27,0.39,-0.05, ready
23312,-9.8,1.2,-0.3,0.2,0.59,1.08,1.23,0.39,0.0, ready
23325,-9.8,1.1,-0.3,0.2,0.59,1.08,1.23,0.39,0.0, ready
23340,-9.7,1.0,-0.2,0.15,0.59,1.13,1.27,0.39,-0.05, ready
23352,-9.7,1.1,-0.1,0.15,0.54,1.08,1.27,0.34,0.0, ready
23364,-9.7,1.1,-0.1,0.2,0.59,1.13,1.27,0.39,-0.1, ready
23378,-9.8,1.2,-0.0,0.2,0.54,1.08,1.27,0.44,-0.05, ready
23391,-10.0,1.4,-0.2,0.2,0.54,1.03,1.27,0.39,-0.05, ready
23403,-9.9,1.3,-0.3,0.15,0.54,1.03,1.23,0.39,-0.05, ready
23416,-9.8,1.2,-0.3,0.15,0.59,1.03,1.27,0.24,0.05, ready
23430,-9.5,0.9,-0.4,0.2,0.59,1.08,1.23,0.39,0.0, ready
23442,-9.5,0.8,-0.3,0.24,0.59,1.08,1.27,0.39,-0.05, ready
23454,-9.5,0.9,-0.2,0.15,0.69,0.98,1.23,0.34,-0.05, ready
23469,-9.5,1.0,-0.2,0.2,0.59,1.08,1.23,0.44,-0.05, ready
23481,-9.6,1.0,-0.3,0.2,0.59,1.03,1.23,0.39,-0.05, ready
23493,-9.6,0.9,-0.4,0.2,0.59,1.13,1.27,0.39,0.0, ready
23505,-9.6,1.0,-0.4,0.15,0.64,1.08,1.18,0.44,0.0, ready
23519,-9.6,0.8,-0.4,0.2,0.54,1.03,1.23,0.34,0.0, ready
23532,-9.5,0.9,-0.4,0.2,0.49,1.18,1.23,0.39,0.0, ready
23544,-9.6,0.9,-0.4,0.2,0.59,1.13,1.32,0.39,-0.05, ready
23557,-9.6,0.9,-0.4,0.2,0.59,1.08,1.23,0.39,0.0, ready
23569,-9.7,0.9,-0.6,0.2,0.54,1.08,1.27,0.39,0.0, ready
23582,-9.7,0.9,-0.6,0.1,0.59,1.18,1.18,0.44,0.0, ready
23595,-9.7,0.9,-0.5,0.15,0.59,1.13,1.27,0.39,0.0, ready
