timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
88640,-9.5,1.1,-1.1,0.1,0.49,1.03,1.23,0.44,0.05, stab-hit
88653,-9.6,1.3,-1.0,0.1,0.54,1.08,1.23,0.34,0.0, stab-hit
88666,-9.6,1.2,-1.0,0.1,0.49,1.13,1.23,0.44,0.0, stab-hit
88678,-9.6,1.3,-0.9,0.15,0.49,0.98,1.23,0.34,0.05, stab-hit
88691,-9.5,1.3,-1.1,0.1,0.54,1.08,1.23,0.39,0.05, stab-hit
88704,-9.4,1.3,-1.1,0.1,0.49,1.03,1.23,0.44,0.0, stab-hit
88716,-9.3,1.2,-1.0,0.05,0.59,1.03,1.27,0.39,0.05, stab-hit
88728,-9.2,1.0,-1.0,0.1,0.59,0.98,1.23,0.34,0.05, stab-hit
88741,-9.2,1.0,-1.0,0.1,0.59,1.08,1.23,0.39,0.05, stab-hit
88754,-9.3,1.0,-1.1,0.1,0.54,1.13,1.23,0.44,0.05, stab-hit
88766,-9.5,1.1,-1.1,0.1,0.54,1.08,1.27,0.49,0.05, stab-hit
88779,-9.6,1.3,-1.2,0.15,0.59,1.13,1.27,0.49,0.05, stab-hit
88792,-9.8,1.3,-1.4,0.1,0.59,1.13,1.23,0.44,0.05, stab-hit
88805,-9.7,1.1,-1.2,0.05,0.64,1.08,1.27,0.44,0.05, stab-hit
88817,-9.7,1.1,-1.1,0.1,0.64,1.13,1.32,0.34,0.05, stab-hit
88830,-9.9,1.1,-1.0,0.1,0.54,1.13,1.32,0.39,0.05, stab-hit
88843,-10.3,1.1,-1.2,0.15,0.54,1.18,1.37,0.34,0.05, stab-hit
88856,-10.7,1.4,-1.4,0.1,0.44,1.18,1.37,0.49,0.1, stab-hit
88869,-10.8,1.4,-1.6,0.2,0.49,1.13,1.27,0.44,0.1, stab-hit
88882,-10.6,1.6,-1.9,0.15,0.54,0.78,1.03,0.49,0.2, stab-hit
88896,-8.3,1.9,-3.0,0.1,0.49,0.39,0.64,0.59,0.24, stab-hit
88909,-5.8,2.3,-3.1,0.0,0.44,-0.2,-0.69,1.18,-0.29, stab-hit
88922,7.5,4.5,2.9,-0.64,0.05,-1.96,-1.62,1.86,-0.73, stab-hit
88935,14.7,8.0,7.3,-0.59,-0.24,-2.55,-2.25,2.4,-0.83, stab-hit
88949,21.5,14.6,10.5,-0.29,-0.44,-2.45,-2.21,2.3,0.29, stab-hit
88962,23.5,25.3,2.2,0.15,-0.98,-2.79,-2.16,2.74,1.27, stab-hit
88975,25.1,25.8,-5.5,0.59,-1.52,-2.01,-1.47,3.28,1.76, stab-hit
88988,24.4,25.1,-12.1,0.44,-2.3,-1.13,1.23,4.65,1.32, stab-hit
89000,0.5,31.0,-12.1,0.24,-2.99,-0.1,2.45,4.31,0.78, stab-hit
89014,-11.4,36.5,-8.5,-0.34,-2.89,1.03,3.48,3.58,0.15, stab-hit
89026,-19.8,38.5,-5.4,-0.78,-2.79,1.32,4.75,2.6,-1.27, stab-hit
89039,-39.1,29.9,11.4,-0.93,-2.01,0.98,5.39,1.71,-1.42, stab-hit
89052,-39.1,23.7,13.4,-0.88,-1.03,0.39,5.29,0.98,-1.47, stab-hit
89065,-39.1,10.9,13.4,-0.88,1.03,-0.44,5.05,0.44,-1.47, stab-hit
89077,-39.1,4.7,13.1,-0.78,2.01,-0.98,3.63,-0.2,-1.23, stab-hit
89091,-39.1,-0.7,12.3,-0.54,2.99,-1.42,2.89,-0.29,-1.03, stab-hit
89104,-30.1,-7.1,8.1,-0.29,3.77,-1.71,2.21,-0.39,-0.69, stab-hit
89116,-24.2,-8.2,6.3,0.2,4.9,-1.62,1.27,-0.44,0.05, stab-hit
89129,-14.8,-8.8,0.4,0.34,5.1,-1.23,1.18,-0.49,0.1, stab-hit
89142,-10.1,-8.7,-3.2,0.49,4.95,-0.69,1.18,-0.54,0.2, stab-hit
