timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
79715,-7.6,-5.5,-2.8,0.24,0.39,0.78,1.08,-0.24,0.2, swing-hit
79728,-8.0,-5.6,-3.4,0.24,0.39,0.98,1.18,-0.29,0.24, swing-hit
79740,-8.3,-5.9,-3.9,0.29,0.49,1.03,1.27,-0.34,0.39, swing-hit
79753,-9.5,-6.4,-5.0,0.39,0.54,1.13,1.47,-0.69,0.49, swing-hit
79766,-11.3,-7.5,-6.6,0.39,0.64,1.23,1.57,-0.83,0.59, swing-hit
79778,-11.9,-8.4,-7.2,0.39,0.78,1.37,1.71,-0.93,0.64, swing-hit
79792,-13.5,-10.7,-8.1,0.39,0.88,1.37,1.86,-1.13,0.54, swing-hit
79804,-14.3,-11.8,-8.6,0.44,1.18,1.27,1.76,-2.06,0.44, swing-hit
79817,-15.3,-21.2,-8.3,0.39,1.42,0.98,1.62,-2.65,0.24, swing-hit
79831,-15.0,-25.4,-7.9,0.0,1.91,0.1,1.32,-3.09,0.0, swing-hit
79843,-14.2,-30.1,-6.7,-0.39,2.16,-0.73,0.24,-3.33,-1.37, swing-hit
79856,-5.5,-38.7,5.1,-0.98,1.42,-1.81,-0.44,-2.79,-2.16, swing-hit
79869,-1.4,-38.3,11.6,-1.52,0.0,-4.26,-1.42,-2.01,-2.79, swing-hit
79884,3.8,-29.8,18.3,-1.57,-0.83,-5.73,-3.72,-1.13,-3.53, swing-hit
79896,30.1,-25.3,32.5,-1.23,-2.21,-7.06,-5.0,-0.24,-3.23, swing-hit
79910,37.0,-12.9,35.6,-0.69,-2.84,-8.18,-5.88,0.44,-2.94, swing-hit
79924,39.3,-7.6,33.0,0.0,-6.17,-8.13,-6.17,2.65,-3.28, swing-hit
79936,39.3,10.7,33.1,0.44,-8.04,-7.5,-5.73,3.63,-3.53, swing-hit
79949,39.3,18.6,36.7,0.98,-9.9,-6.52,-4.9,4.8,-3.63, swing-hit
79963,39.3,39.0,39.4,2.35,-13.82,-5.68,-2.5,6.27,-3.48, swing-hit
79976,35.7,39.7,39.4,2.94,-16.02,-5.88,-0.44,7.74,-2.74, swing-hit
