timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
21624,-9.5,-0.1,-0.6,0.15,0.39,1.08,1.27,0.39,0.0, ready
21637,-9.5,0.3,-0.5,0.15,0.34,1.18,1.27,0.39,-0.05, ready
21649,-9.8,0.6,-0.4,0.15,0.34,1.13,1.27,0.39,-0.05, ready
21661,-10.0,0.8,-0.3,0.15,0.34,1.13,1.23,0.39,-0.05, ready
21675,-9.8,0.2,0.1,0.1,0.49,1.13,1.23,0.24,-0.15, ready
21687,-9.7,-0.0,0.2,0.15,0.54,1.08,1.27,0.29,-0.05, ready
21699,-9.3,-0.3,0.1,0.15,0.54,1.03,1.23,0.34,0.0, ready
21712,-9.3,-0.2,-0.0,0.15,0.54,1.03,1.27,0.29,-0.05, ready
21725,-9.3,0.0,-0.2,0.1,0.44,1.08,1.18,0.34,-0.05, ready
21737,-9.4,0.1,-0.1,0.1,0.49,1.18,1.23,0.39,-0.05, ready
21750,-9.3,0.0,-0.1,0.2,0.54,1.08,1.23,0.29,0.0, ready
21763,-9.3,-0.1,-0.1,0.2,0.59,0.98,1.23,0.29,-0.1, ready
21775,-9.0,-0.5,-0.4,0.15,0.54,0.98,1.23,0.29,0.0, ready
21787,-9.0,-0.4,-0.6,0.2,0.54,1.08,1.23,0.39,0.0, ready
21800,-9.1,-0.3,-0.7,0.15,0.49,1.18,1.23,0.39,0.0, ready
21813,-9.5,0.3,-0.9,0.2,0.49,1.13,1.27,0.39,0.0, ready
21825,-9.7,0.7,-0.7,0.15,0.54,1.13,1.27,0.34,0.0, ready
21838,-9.6,0.5,-0.4,0.24,0.54,1.13,1.23,0.34,-0.05, ready
21852,-9.5,0.3,-0.3,0.2,0.54,1.13,1.23,0.34,-0.05, ready
21864,-9.4,0.3,-0.2,0.2,0.49,1.08,1.27,0.39,-0.05, ready
21876,-9.6,0.4,0.0,0.2,0.44,1.13,1.27,0.39,-0.1, ready
21890,-9.6,0.4,0.0,0.24,0.44,1.13,1.27,0.34,-0.05, ready
21903,-9.6,0.3,0.1,0.2,0.54,1.08,1.23,0.34,0.0, ready
21915,-9.3,0.1,-0.0,0.24,0.54,1.08,1.23,0.34,0.0, ready
21928,-9.1,0.0,-0.0,0.29,0.54,1.13,1.23,0.34,-0.05, ready
21942,-9.0,0.0,0.0,0.29,0.44,1.08,1.27,0.34,-0.1, ready
21955,-9.3,0.4,0.1,0.2,0.49,1.08,1.27,0.34,-0.05, ready
21968,-9.4,0.6,0.2,0.24,0.54,1.03,1.23,0.44,0.0, ready
21982,-9.4,0.7,0.2,0.2,0.59,1.08,1.23,0.39,-0.05, ready
21994,-9.1,0.2,-0.1,0.29,0.54,1.03,1.23,0.34,0.0, ready
22007,-9.0,0.1,-0.2,0.24,0.64,1.08,1.27,0.34,0.0, ready
