timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
91971,-5.4,6.9,1.9,0.29,0.34,0.54,0.73,0.93,0.0, stab-hit
91983,-4.6,5.7,0.3,0.29,0.39,0.49,0.69,0.98,0.05, stab-hit
91998,-4.2,5.3,-0.1,0.24,0.49,0.39,0.59,0.98,-0.05, stab-hit
92010,-3.5,5.5,0.2,0.2,0.54,0.44,0.64,0.98,-0.1, stab-hit
92022,-3.7,6.9,1.2,0.1,0.49,0.39,0.64,0.98,-0.05, stab-hit
92036,-3.9,7.3,1.1,0.15,0.54,0.49,0.69,1.08,-0.05, stab-hit
92049,-4.3,6.9,1.0,0.1,0.34,0.29,0.59,1.18,0.0, stab-hit
92062,-3.5,7.8,0.4,0.05,0.24,0.24,0.54,1.37,0.0, stab-hit
92075,-2.7,8.2,0.3,0.05,0.1,0.2,0.59,1.67,0.0, stab-hit
92089,-2.5,10.8,1.4,0.05,0.0,0.1,0.59,1.76,0.0, stab-hit
92101,-2.5,14.0,1.0,0.05,0.0,0.05,0.49,1.81,0.1, stab-hit
92113,-2.0,14.2,-0.0,0.1,-0.1,-0.05,0.44,1.86,0.15, stab-hit
92128,-1.8,14.0,-0.4,0.05,-0.29,-0.15,0.64,1.81,0.1, stab-hit
92141,-2.0,14.3,-0.7,0.0,-0.44,-0.34,0.59,1.76,0.05, stab-hit
92153,-3.0,12.8,0.0,-0.05,-0.54,-0.2,0.78,1.81,0.0, stab-hit
92166,-3.9,13.3,1.0,-0.05,-0.64,-0.24,1.18,1.57,-0.05, stab-hit
92179,-5.4,13.8,1.5,-0.05,-0.69,-0.15,1.52,1.42,-0.05, stab-hit
92192,-10.8,11.3,1.2,-0.1,-0.73,0.0,1.81,1.23,-0.1, stab-hit
92205,-12.8,10.0,1.2,-0.24,-0.64,0.1,2.4,0.64,-0.39, stab-hit
92218,-14.9,7.8,1.3,-0.39,-0.64,0.39,2.84,0.44,-0.54, stab-hit
92230,-20.9,3.6,2.8,-0.29,-0.44,0.73,3.09,0.1,-0.64, stab-hit
92243,-27.0,0.9,4.6,0.0,0.34,0.83,3.23,0.05,-0.64, stab-hit
92256,-30.2,-2.4,4.7,0.24,0.88,0.73,3.09,-0.34,-0.39, stab-hit
92268,-30.1,-3.6,3.8,0.49,1.42,0.83,2.94,-0.44,-0.29, stab-hit
92281,-27.9,-7.5,1.3,0.59,1.96,1.03,2.99,-0.59,-0.29, stab-hit
92294,-26.6,-9.4,1.0,0.93,2.35,1.62,2.99,-0.54,0.0, stab-hit
92307,-26.9,-9.2,0.4,1.32,2.7,2.06,3.28,-0.73,0.1, stab-hit
92319,-27.9,-9.2,-1.1,1.42,2.94,2.4,3.33,-0.93,0.0, stab-hit
92332,-30.4,-9.9,-3.0,1.71,3.04,2.79,3.48,-0.59,0.05, stab-hit
92346,-31.9,-7.5,-2.0,1.86,3.04,3.23,3.72,-0.1,-0.1, stab-hit
92358,-32.7,-7.8,-3.1,1.81,2.89,3.72,4.12,0.49,-0.2, stab-hit
92370,-37.1,1.2,1.4,2.06,3.14,3.72,4.26,0.93,-0.05, stab-hit
92384,-38.8,1.6,-0.6,1.81,3.33,3.63,3.68,1.42,-1.27, stab-hit
92398,-36.0,6.1,4.8,1.27,3.33,3.23,3.53,1.76,-1.57, stab-hit
92410,-33.5,14.9,14.5,1.18,3.33,2.84,3.09,2.06,-1.81, stab-hit
92424,-30.7,17.2,16.9,1.18,3.14,2.45,2.6,2.7,-1.57, stab-hit
92437,-23.2,22.1,18.7,0.98,3.68,1.32,1.57,2.94,-1.37, stab-hit
92450,-15.6,24.6,14.8,0.44,4.61,0.69,0.93,3.09,-1.67, stab-hit
92463,-6.7,27.4,18.0,0.05,5.93,-0.39,0.05,3.23,-1.42, stab-hit
92477,0.1,25.9,19.0,-0.49,6.57,-1.67,-2.35,3.92,-0.98, stab-hit
92489,11.3,26.8,17.6,-0.15,6.27,-4.95,-3.82,4.51,-0.34, stab-hit
92503,38.0,37.0,8.5,0.0,6.27,-8.43,-6.66,5.44,-0.54, stab-hit
92515,39.3,39.7,2.5,-1.96,-1.91,-10.93,-27.83,9.46,0.2, stab-hit
92529,39.3,39.6,5.1,0.64,1.18,4.8,-1.42,-12.59,-3.43, stab-hit
92541,12.7,-38.6,13.9,0.15,1.91,-4.61,-5.24,-7.15,-6.13, stab-hit
92555,-12.7,-38.7,39.4,5.54,0.54,-7.69,-8.72,6.03,5.88, stab-hit
92567,39.3,-28.5,31.8,4.46,1.81,-6.57,-1.76,5.59,6.76, stab-hit
92580,34.1,26.3,-38.8,4.07,0.98,-4.17,-1.86,4.07,6.27, stab-hit
92593,14.4,10.3,-39.0,1.47,1.62,-3.72,-2.65,2.01,1.81, stab-hit
92606,35.7,9.4,-36.1,0.54,1.42,-3.63,-2.5,2.21,0.1, stab-hit
92619,29.7,15.7,-19.9,-0.1,0.93,-3.28,-2.16,2.55,-0.64, stab-hit
92632,25.8,22.0,5.7,-0.64,0.49,-1.47,-1.27,2.74,-0.49, stab-hit
92645,15.7,27.2,7.8,-0.05,0.59,-0.73,0.2,3.14,0.29, stab-hit
92658,9.0,28.5,3.3,0.24,0.78,-0.49,0.49,3.09,0.64, stab-hit
92670,-0.6,29.2,-4.9,0.1,1.08,-0.34,0.59,3.28,0.49, stab-hit
92685,-1.4,27.2,-3.9,-0.69,1.67,0.2,1.08,3.53,-1.13, stab-hit
92698,-2.9,24.8,0.4,-1.37,2.06,0.78,1.37,2.94,-2.5, stab-hit
92710,-12.8,25.4,25.2,-2.06,2.16,1.18,2.01,2.01,-3.33, stab-hit
92725,-19.2,25.7,33.8,-1.42,2.99,2.45,2.5,1.47,-2.5, stab-hit
92738,-24.2,23.6,34.8,-0.83,3.19,2.35,2.35,1.23,-1.62, stab-hit
92751,-22.0,7.7,14.8,-0.29,3.19,2.11,2.21,1.03,-0.98, stab-hit
92764,-20.0,5.7,10.3,0.1,3.19,1.96,1.91,0.59,0.05, stab-hit
92778,-18.4,4.6,6.0,0.44,3.09,1.62,1.81,0.34,0.24, stab-hit
92790,-14.8,-1.3,-3.8,0.69,3.09,1.52,1.76,0.05,0.83, stab-hit
92803,-14.2,-1.0,-6.6,0.78,2.89,1.18,1.52,0.1,1.67, stab-hit
92816,-11.2,-3.6,-17.3,0.64,2.55,1.18,1.62,0.15,1.42, stab-hit
92829,-10.8,-4.0,-17.5,0.05,1.62,1.18,1.67,0.49,1.08, stab-hit
92841,-12.7,-0.3,-13.4,-0.24,1.42,1.18,1.67,0.59,0.29, stab-hit
92854,-13.8,1.3,-7.3,-0.49,1.23,1.13,1.67,0.69,-0.05, stab-hit
92867,-13.9,2.3,-3.8,-0.64,1.08,1.32,1.76,0.73,-0.2, stab-hit
92879,-15.5,4.6,1.8,-0.98,0.69,1.42,1.81,0.78,-0.34, stab-hit
92893,-15.4,5.1,3.3,-0.98,0.49,1.42,1.67,0.93,-0.39, stab-hit
92905,-15.7,6.7,4.6,-0.98,0.59,1.23,1.52,1.27,-0.05, stab-hit
92918,-15.4,8.4,4.4,-1.86,0.49,1.03,1.42,1.37,0.49, stab-hit
92931,-12.0,1.0,-5.3,-2.55,0.2,0.93,1.32,0.88,0.1, stab-hit
92945,-11.5,11.2,-6.5,-1.86,0.49,0.83,1.27,0.88,-0.05, stab-hit
92957,-9.9,17.4,0.0,-1.03,0.54,0.88,1.27,1.27,0.0, stab-hit
92969,-10.2,9.1,0.4,-0.49,0.73,0.73,1.32,1.62,0.15, stab-hit
92984,-10.1,6.6,-1.2,-0.05,0.88,0.49,0.93,1.23,0.15, stab-hit
92997,-7.8,5.6,-2.4,0.05,1.03,0.44,0.83,1.13,0.1, stab-hit
93009,-5.9,8.5,-1.9,0.15,1.08,0.34,0.83,1.13,0.24, stab-hit
93024,-5.5,8.5,-2.6,0.29,1.23,0.44,0.98,1.08,0.15, stab-hit
93037,-5.5,8.5,-2.2,0.44,1.23,0.49,0.93,1.13,0.1, stab-hit
93049,-6.3,8.1,-1.4,0.54,1.23,0.54,0.93,1.27,0.05, stab-hit
93062,-5.9,7.8,-1.1,0.64,1.32,0.34,0.78,1.23,0.05, stab-hit
93076,-5.4,7.7,-0.9,0.69,1.47,0.34,0.69,1.13,0.1, stab-hit
93088,-3.6,7.4,-0.7,0.73,1.47,0.24,0.64,1.18,0.1, stab-hit
93101,-3.2,7.6,-0.7,0.64,1.52,0.15,0.59,1.03,0.0, stab-hit
93114,-2.8,7.9,-0.4,0.64,1.52,0.2,0.49,1.13,0.0, stab-hit
93127,-2.6,8.0,-0.0,0.69,1.42,0.15,0.49,1.08,-0.05, stab-hit
93139,-2.2,7.2,0.8,0.64,1.37,0.15,0.44,1.18,-0.1, stab-hit
