timestamp,gyroX,gyroY,gyroZ,Accel_1_X,Accel_1_Y,Accel_1_Z,Accel_2_X,Accel_2_Y,Accel_2_Z,classification
77307,-8.6,-4.7,-1.9,0.29,0.78,0.98,1.18,0.0,0.1, swing-hit
77321,-8.7,-4.7,-1.9,0.34,0.73,0.98,1.18,0.0,0.05, swing-hit
77334,-8.9,-4.7,-1.5,0.29,0.83,0.98,1.13,-0.44,0.0, swing-hit
77346,-9.1,-5.4,-1.2,0.29,0.98,0.98,1.23,-0.69,-0.05, swing-hit
77359,-9.4,-6.9,-1.0,0.34,1.13,0.93,1.32,-0.93,-0.05, swing-hit
77372,-10.5,-13.0,-1.3,0.29,1.23,0.78,1.23,-1.23,-0.05, swing-hit
77384,-10.0,-14.5,-1.4,0.2,1.32,0.59,0.98,-2.11,-0.15, swing-hit
77396,-9.3,-16.3,-1.6,0.15,1.52,0.24,0.73,-2.65,-0.24, swing-hit
77410,-7.5,-25.0,-1.4,0.05,1.67,-0.88,0.39,-3.04,-0.49, swing-hit
77422,-3.9,-36.5,0.4,0.1,0.49,-1.47,0.0,-3.38,-0.54, swing-hit
77435,0.9,-35.9,0.0,0.15,-0.29,-2.25,-0.78,-3.48,-0.54, swing-hit
77448,3.6,-36.8,1.0,0.34,-1.52,-3.04,-1.27,-3.33,-0.73, swing-hit
77461,8.3,-38.1,1.9,0.44,-3.33,-3.63,-1.47,-2.79,-1.27, swing-hit
77473,16.0,-27.5,11.6,0.49,-7.06,-3.68,-2.35,-0.78,-2.25, swing-hit
77488,19.6,-22.9,16.0,0.34,-8.67,-3.68,-2.94,0.05,-2.94, swing-hit
77500,23.2,-16.9,20.0,0.2,-9.7,-3.68,-3.28,0.93,-3.38, swing-hit
77513,34.0,3.2,36.0,0.2,-11.71,-4.12,-3.77,2.7,-4.12, swing-hit
77527,36.6,10.3,39.2,0.24,-12.69,-4.75,-3.63,3.87,-4.56, swing-hit
77541,37.9,17.7,39.4,0.44,-13.47,-5.98,-3.23,4.85,-4.65, swing-hit
77553,29.9,39.7,39.4,0.59,-14.31,-10.58,-1.42,6.27,-4.07, swing-hit
77568,23.3,39.7,39.4,2.5,-14.26,-14.16,-0.2,6.76,-2.94, swing-hit
77581,15.2,39.7,39.4,3.77,-13.92,-18.03,1.42,6.96,-1.32, swing-hit
77593,-14.0,39.7,16.8,5.1,-12.98,-22.34,5.05,6.86,1.37, swing-hit
77606,-25.5,39.7,4.7,4.9,-9.51,-31.56,6.57,6.76,1.96, swing-hit
77620,-39.1,39.7,-14.2,4.26,-7.74,-37.24,7.89,7.74,2.06, swing-hit
77633,-39.1,39.7,-17.3,2.11,-6.13,-44.44,8.04,10.19,0.49, swing-hit
77645,-39.1,39.7,-14.4,0.54,2.45,-63.11,4.51,8.43,-0.1, swing-hit
77659,-39.1,39.7,5.0,-3.43,95.16,-65.86,-1.23,5.24,-0.73, swing-hit
77671,7.6,39.6,9.8,-17.15,28.37,-15.73,0.49,64.29,-8.38, swing-hit
77685,-18.4,14.4,-32.8,-12.84,-82.61,-10.49,1.96,18.42,3.19, swing-hit
77698,-23.8,10.7,11.1,16.32,38.12,-1.42,0.59,-13.43,5.15, swing-hit
77711,-7.4,8.2,-0.4,12.25,23.81,-5.29,-0.24,9.11,1.18, swing-hit
77723,17.8,4.8,-4.2,-8.53,-11.81,-4.17,-2.3,10.24,-2.94, swing-hit
77737,25.9,1.4,-7.4,-9.11,-10.19,-3.19,-2.25,4.36,0.54, swing-hit
77751,20.6,0.9,-7.9,8.97,7.06,-2.4,-0.1,1.62,3.87, swing-hit
77763,12.2,18.7,-7.3,-0.73,4.02,-2.55,-0.88,2.16,0.88, swing-hit
77776,10.3,18.4,-3.6,-5.98,2.99,-2.74,-1.27,1.71,-1.42, swing-hit
77790,11.8,15.4,-0.0,3.28,5.15,-2.7,-0.78,0.83,0.88, swing-hit
77803,4.9,0.8,4.7,1.37,3.82,-2.84,0.15,-1.08,1.57, swing-hit
77816,5.9,-6.5,-0.5,-1.86,2.89,-2.99,0.29,-1.37,0.64, swing-hit
77830,1.0,-19.7,-8.1,-1.27,2.94,-3.82,0.15,-1.76,-0.88, swing-hit
77843,-2.4,-26.0,-5.2,1.03,1.27,-4.26,0.24,-1.76,-0.69, swing-hit
77855,-3.2,-25.0,-2.3,-0.15,-0.34,-4.31,0.78,-1.52,-0.39, swing-hit
77869,-4.6,-18.3,3.3,-0.49,-1.32,-3.87,1.23,-0.69,-0.44, swing-hit
77882,-11.5,-13.9,4.2,0.49,-3.04,-2.6,1.71,0.24,-0.64, swing-hit
77894,-16.7,-2.5,4.2,1.37,-3.87,-2.4,1.57,0.1,-0.49, swing-hit
77906,-17.3,-1.0,3.8,0.83,-3.82,-2.01,1.47,-0.34,-0.24, swing-hit
77920,-13.8,-3.7,2.8,0.93,-3.43,-1.81,1.23,-0.44,-0.2, swing-hit
77932,-9.9,-9.3,-0.5,1.27,-3.23,-1.81,0.64,-0.98,-0.2, swing-hit
77945,-7.4,-11.1,-0.4,0.98,-3.63,-1.37,0.73,-0.93,-0.05, swing-hit
77958,-6.1,-12.7,-0.8,0.83,-3.58,-1.08,0.69,-0.88,-0.05, swing-hit
77970,-5.8,-11.7,-1.2,0.88,-3.53,-0.83,0.69,-0.54,-0.44, swing-hit
77983,-5.6,-10.9,0.1,0.88,-3.53,-0.59,0.73,-0.44,-0.59, swing-hit
77996,-6.2,-8.4,2.0,0.64,-3.04,-0.1,0.69,-0.24,-0.59, swing-hit
78009,-6.1,-6.0,4.3,0.49,-2.79,0.05,0.69,-0.24,-0.54, swing-hit
78021,-5.3,-5.4,5.2,0.54,-2.65,0.15,0.73,-0.15,-0.59, swing-hit
78035,-5.7,-5.1,5.8,0.64,-2.4,0.29,0.69,-0.15,-0.59, swing-hit
